id,משרד,שנת תקציב,קוד תקציבי,כותרת,תקציב מקורי,תקציב מעודכן,ביצוע,אומדן ביצוע,שיעור ביצוע,סטטוס נתון,מקור
budget-economy-2023-0038,economy,2023,0038,כלכלה ותעשייה,2720667000,4541713000,3759507233,,82.8,partial,https://next.obudget.org/i/budget/0038/2023
budget-economy-2023-003830,economy,2023,003830,המדען הראשי,1544853000,1798226000,1535536772,,85.4,partial,https://next.obudget.org/i/budget/003830/2023
budget-economy-2023-00383001,economy,2023,00383001,הפעלת הרשות לחדשנות,142054000,182796000,139410647,,76.3,partial,https://next.obudget.org/i/budget/00383001/2023
budget-economy-2023-00383002,economy,2023,00383002,מענקי מחקר ופיתוח,885961000,983716000,764411894,,77.7,partial,https://next.obudget.org/i/budget/00383002/2023
budget-economy-2023-00383004,economy,2023,00383004,"מו""פ בין-לאומי",516838000,631714000,631714231,,100,partial,https://next.obudget.org/i/budget/00383004/2023
budget-economy-2023-003840,economy,2023,003840,עידוד המגזר העסקי,832332000,2336804000,1894136794,,81.1,partial,https://next.obudget.org/i/budget/003840/2023
budget-economy-2023-00384001,economy,2023,00384001,קידום השקעות ועידוד,290491000,854275000,786168535,,92,partial,https://next.obudget.org/i/budget/00384001/2023
budget-economy-2023-00384004,economy,2023,00384004,קידום הייצוא ועידוד,443242000,1203099000,1053238670,,87.5,partial,https://next.obudget.org/i/budget/00384004/2023
budget-economy-2023-00384009,economy,2023,00384009,פעולות כלליות לקידום,98599000,279430000,54729589,,19.6,partial,https://next.obudget.org/i/budget/00384009/2023
budget-economy-2023-003870,economy,2023,003870,שכר ותפעול המשרד,323808000,397639000,327585946,,82.4,partial,https://next.obudget.org/i/budget/003870/2023
budget-economy-2023-00387001,economy,2023,00387001,שכר,206618000,212628000,210516260,,99,partial,https://next.obudget.org/i/budget/00387001/2023
budget-economy-2023-00387002,economy,2023,00387002,תפעול,117190000,185011000,117069686,,63.3,partial,https://next.obudget.org/i/budget/00387002/2023
budget-economy-2023-003890,economy,2023,003890,רשות הרגולציה,19674000,9044000,2247721,,24.9,partial,https://next.obudget.org/i/budget/003890/2023
budget-economy-2023-00389001,economy,2023,00389001,שכר ופעולות,19674000,9044000,2247721,,24.9,partial,https://next.obudget.org/i/budget/00389001/2023
budget-economy-2023-003899,economy,2023,003899,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/003899/2023
budget-economy-2023-00389999,economy,2023,00389999,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/00389999/2023
budget-economy-2024-0038,economy,2024,0038,כלכלה ותעשייה,4539043000,5321423000,4888077362,,91.9,partial,https://next.obudget.org/i/budget/0038/2024
budget-economy-2024-003830,economy,2024,003830,המדען הראשי,1511448000,1909271000,1839223734,,96.3,partial,https://next.obudget.org/i/budget/003830/2024
budget-economy-2024-00383001,economy,2024,00383001,הפעלת הרשות לחדשנות,137470000,175075000,144971276,,82.8,partial,https://next.obudget.org/i/budget/00383001/2024
budget-economy-2024-00383002,economy,2024,00383002,מענקי מחקר ופיתוח,704762000,1064980000,1023481456,,96.1,partial,https://next.obudget.org/i/budget/00383002/2024
budget-economy-2024-00383004,economy,2024,00383004,"מו""פ בין-לאומי",669216000,669216000,670771002,,100.2,partial,https://next.obudget.org/i/budget/00383004/2024
budget-economy-2024-003840,economy,2024,003840,עידוד המגזר העסקי,2695825000,2988426000,2715040252,,90.9,partial,https://next.obudget.org/i/budget/003840/2024
budget-economy-2024-00384001,economy,2024,00384001,קידום השקעות ועידוד,1939920000,1992162000,1955758695,,98.2,partial,https://next.obudget.org/i/budget/00384001/2024
budget-economy-2024-00384004,economy,2024,00384004,קידום הייצוא ועידוד,686180000,752908000,645484007,,85.7,partial,https://next.obudget.org/i/budget/00384004/2024
budget-economy-2024-00384009,economy,2024,00384009,פעולות כלליות לקידום,69725000,243356000,113797550,,46.8,partial,https://next.obudget.org/i/budget/00384009/2024
budget-economy-2024-003870,economy,2024,003870,שכר ותפעול המשרד,315023000,404355000,326931848,,80.9,partial,https://next.obudget.org/i/budget/003870/2024
budget-economy-2024-00387001,economy,2024,00387001,שכר,210425000,222658000,220108383,,98.9,partial,https://next.obudget.org/i/budget/00387001/2024
budget-economy-2024-00387002,economy,2024,00387002,תפעול,104598000,181697000,106823465,,58.8,partial,https://next.obudget.org/i/budget/00387002/2024
budget-economy-2024-003890,economy,2024,003890,רשות הרגולציה,16747000,19371000,6688535,,34.5,partial,https://next.obudget.org/i/budget/003890/2024
budget-economy-2024-00389001,economy,2024,00389001,שכר ופעולות,16747000,19371000,6688535,,34.5,partial,https://next.obudget.org/i/budget/00389001/2024
budget-economy-2024-003899,economy,2024,003899,חשבון מעבר,0,0,192993,,,partial,https://next.obudget.org/i/budget/003899/2024
budget-economy-2024-00389999,economy,2024,00389999,חשבון מעבר,0,0,192993,,,partial,https://next.obudget.org/i/budget/00389999/2024
budget-economy-2025-0038,economy,2025,0038,כלכלה ותעשייה,4590913000,3181652000,2713230682,,85.3,partial,https://next.obudget.org/i/budget/0038/2025
budget-economy-2025-003830,economy,2025,003830,המדען הראשי,1956660000,1744255000,1577505075,,90.4,partial,https://next.obudget.org/i/budget/003830/2025
