משרד,תחילת טווח,סוף טווח,מקורות מוגדרים,מקורות שנאספו,פריטי פעילות,רשומות תקציב,שנות תקציב,מגבלות
sec-1,2022-12-29,2026-08-14,0,0,0,28,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-2,2022-12-29,2026-08-14,0,0,0,96,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-4,2022-12-29,2026-08-14,0,0,400,181,2023; 2024; 2025; 2026,
sec-5,2022-12-29,2026-08-14,0,0,200,72,2023; 2024; 2025; 2026,
sec-6,2022-12-29,2026-08-14,0,0,50,56,2023; 2024; 2025; 2026,
sec-7,2022-12-29,2026-08-14,0,0,159,88,2023; 2024; 2025; 2026,
sec-8,2022-12-29,2026-08-14,0,0,0,104,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-9,2022-12-29,2026-08-14,0,0,1,32,2023; 2024; 2025; 2026,
sec-10,2022-12-29,2026-08-14,0,0,0,20,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-11,2022-12-29,2026-08-14,0,0,0,108,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-12,2022-12-29,2026-08-14,0,0,0,48,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-13,2022-12-29,2026-08-14,0,0,0,60,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-14,2022-12-29,2026-08-14,0,0,0,50,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-15,2022-12-29,2026-08-14,0,0,0,51,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-16,2022-12-29,2026-08-14,0,0,0,48,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-17,2022-12-29,2026-08-14,0,0,0,84,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-18,2022-12-29,2026-08-14,0,0,0,40,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-19,2022-12-29,2026-08-14,0,0,55,68,2023; 2024; 2025; 2026,
education,2022-12-29,2026-08-14,5,5,1,137,2023; 2024; 2025; 2026,
sec-21,2022-12-29,2026-08-14,0,0,0,16,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-22,2022-12-29,2026-08-14,0,0,15,52,2023; 2024; 2025; 2026,
sec-23,2022-12-29,2026-08-14,0,0,63,118,2023; 2024; 2025; 2026,
health,2022-12-29,2026-08-14,6,6,199,123,2023; 2024; 2025; 2026,
sec-25,2022-12-29,2026-08-14,0,0,0,44,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
environment,2022-12-29,2026-08-14,2,2,81,64,2023; 2024; 2025; 2026,
sec-27,2022-12-29,2026-08-14,0,0,0,37,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-29,2022-12-29,2026-08-14,0,0,73,32,2023; 2024; 2025; 2026,
sec-30,2022-12-29,2026-08-14,0,0,0,60,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-31,2022-12-29,2026-08-14,0,0,0,12,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-33,2022-12-29,2026-08-14,0,0,118,56,2023; 2024; 2025; 2026,
sec-34,2022-12-29,2026-08-14,0,0,200,50,2023; 2024; 2025; 2026,
sec-35,2022-12-29,2026-08-14,0,0,0,12,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-36,2022-12-29,2026-08-14,0,0,36,100,2023; 2024; 2025; 2026,
sec-37,2022-12-29,2026-08-14,0,0,39,52,2023; 2024; 2025; 2026,
economy,2022-12-29,2026-08-14,1,1,92,64,2023; 2024; 2025; 2026,
sec-39,2022-12-29,2026-08-14,0,0,200,32,2023; 2024; 2025; 2026,
transport,2022-12-29,2026-08-14,5,5,200,76,2023; 2024; 2025; 2026,
sec-41,2022-12-29,2026-08-14,0,0,0,28,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-42,2022-12-29,2026-08-14,0,0,0,44,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-43,2022-12-29,2026-08-14,0,0,4,40,2023; 2024; 2025; 2026,
sec-46,2022-12-29,2026-08-14,0,0,0,32,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-54,2022-12-29,2026-08-14,0,0,0,158,2023; 2024; 2025; 2026,לא נאספו פריטי פעילות פומבית עבור משרד זה.
sec-68,2022-12-29,2026-08-14,0,0,200,52,2023; 2024; 2025; 2026,
